Designator,Mid X,Mid Y,Rotation,Layer
C1,39.92,-86.96,180.0,top
C10,106.69,-133.082485,90.0,top
C11,106.69,-156.96,90.0,top
C12,106.75,-109.459669,90.0,top
C13,106.825,-86.344503,90.0,top
C2,28.01,-86.905199,90.0,top
C4,21.84,-160.305,270.0,top
C5,47.69,-90.61,90.0,top
C6,49.94,-90.635,90.0,top
C7,21.865,-165.555,90.0,top
C8,54.211063,-118.117172,90.0,top
C9,51.980532,-118.117172,90.0,top
D1,112.661208,-97.460091,90.0,top
D10,43.12,-137.13,270.0,top
D11,53.94,-88.79,180.0,top
D12,48.86,-85.89,0.0,top
D13,35.55,-105.1,90.0,top
D2,112.84,-121.979669,90.0,top
D3,112.84,-145.449834,90.0,top
D4,112.84,-169.12,90.0,top
D5,31.163793,-105.079412,90.0,top
D6,78.225,-96.839503,90.0,top
D7,78.225,-119.961336,90.0,top
D8,78.225,-143.346917,90.0,top
D9,78.225,-167.1275,90.0,top
F1,105.9,-97.184503,90.0,top
F2,105.9,-120.306336,90.0,top
F3,105.9,-143.691917,90.0,top
F4,105.9,-167.4725,90.0,top
F5,34.4555,-79.3785,0.0,top
J1,120.5,-93.664503,90.0,top
J2,120.5,-116.786336,90.0,top
J3,120.5,-140.294417,90.0,top
J4,120.5,-164.075,90.0,top
J5,18.8,-97.81,270.0,top
J6,21.25,-116.1,270.0,top
J8,53.85,-78.225,180.0,top
K1,91.325,-93.449503,0.0,top
K2,91.325,-116.571336,0.0,top
K3,91.325,-139.956917,0.0,top
K4,91.325,-163.7375,0.0,top
Q1,76.7475,-89.989503,180.0,top
Q2,76.7475,-113.089669,180.0,top
Q3,76.7475,-136.509834,180.0,top
Q4,76.7475,-160.4,180.0,top
Q5,47.4175,-107.82,0.0,top
Q6,58.849095,-107.567172,90.0,top
R1,77.14,-87.039503,180.0,top
R10,112.84,-140.819834,0.0,top
R11,112.84,-117.319669,180.0,top
R12,112.748708,-92.500091,180.0,top
R13,31.113793,-101.594412,0.0,top
R14,57.53,-89.09,90.0,top
R15,46.07,-94.46,270.0,top
R16,48.15,-94.48,90.0,top
R17,48.2525,-98.15,90.0,top
R18,21.87,-170.15,90.0,top
R19,52.939095,-108.802172,180.0,top
R2,77.14,-110.209669,180.0,top
R20,52.939095,-111.127172,0.0,top
R21,31.2925,-124.74,0.0,top
R22,31.2925,-126.765,0.0,top
R23,45.9,-98.15,270.0,top
R24,68.22,-95.93,90.0,top
R25,68.23,-119.4,90.0,top
R26,68.23,-142.8,90.0,top
R27,56.99,-85.375,270.0,top
R28,52.31,-85.7,270.0,top
R29,68.22,-166.62,90.0,top
R3,77.14,-133.529834,180.0,top
R4,77.14,-157.43,180.0,top
R41,35.5,-101.575,0.0,top
R42,43.17,-140.915,180.0,top
R5,77.14,-84.959183,0.0,top
R6,77.14,-108.059669,0.0,top
R7,77.14,-131.299834,0.0,top
R8,77.14,-155.28,180.0,top
R9,112.84,-164.38,180.0,top
SW1,47.33,-114.767172,270.0,top
SW2,58.861595,-114.767172,90.0,top
TP13,28.30309,-112.62278,180.0,top
TP14,28.30309,-119.27246,180.0,top
TP15,28.30309,-115.94762,180.0,top
TP_EN_CH1,68.29254,-89.34809,90.0,top
TP_EN_CH2,68.29254,-112.90809,90.0,top
TP_EN_CH3,68.29254,-135.7554,90.0,top
TP_EN_CH4,68.29032,-159.63809,90.0,top
TP_RXD0,27.65222,-131.85809,90.0,top
TP_TXD0,24.44222,-131.85809,90.0,top
U1,26.355,-148.38,90.0,top
U2,37.7,-93.375,0.0,top
U3,54.09,-94.775,0.0,top
